id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
0,4,Alabama,181,1426,181,1133,100,79,1657783857,726471675,759397,4658233,1/1/07,
1,10,Alaska,42,40,33,18,79,45,130092732,31035863,58518,21165,1/1/07,
2,9,American Samoa,4,3,4,2,100,67,4447989,1250397,166,123,1/1/07,
3,9,Arizona,63,94,62,59,98,63,256230227,12079749,852791,5378,1/1/07,
4,6,Arkansas,115,690,114,689,99,100,455873624,44373663,200353,18787,1/1/07,
5,9,California,265,417,231,148,87,35,3862072127,10916719,3693918209,40223,1/1/07,
6,8,Colorado,121,345,115,226,95,66,418135339,108678323,299028,4035,1/1/07,
7,1,Connecticut,99,84,98,79,99,94,82359787,117422083,1111868,14097,1/1/07,
8,3,Delaware,17,39,16,33,94,85,199173529,21138413,309848,115475,1/1/07,
9,3,District Of Columbia,4,10,4,8,100,80,22285062,59720,56625,274,1/1/07,
10,4,Florida,220,269,189,224,86,83,8585493190,157084062,2356605,16813,1/1/07,
11,4,Georgia,206,876,196,542,95,62,280864879,219596,209637,264,1/1/07,
12,9,Guam,6,13,5,7,83,54,8219537,0,262,0,1/1/07,
13,6,Gulf Of Mexico,,3,,3,,100,,0,,0,1/1/07,
14,4,Gulf Of Mexico East,,5,,0,,0,,,,,1/1/07,
15,9,Hawaii,20,111,18,20,90,18,5221394996,9728756,165642,498,1/1/07,
16,10,Idaho,37,144,36,133,97,92,53562594,2056996227,31637,101910,1/1/07,
17,5,Illinois,272,1387,270,1251,99,90,307064402,1059640423,255244,214157,1/1/07,
18,5,Indiana,198,1392,196,1361,99,98,2166882074,795209926,58360380,320662,1/1/07,
19,7,Iowa,139,1215,133,975,96,80,21647518,33179316,48964,2850,1/1/07,
20,7,Kansas,23,338,20,46,87,14,38576243,7410631,115297,33988,1/1/07,
21,4,Kentucky,138,1517,137,1377,99,91,374272225,636901690,1026071,262425,1/1/07,
22,6,Louisiana,242,1044,232,276,96,26,1996050140,12671929,4278419659,11427,1/1/07,
23,1,Maine,76,338,72,221,95,65,87423484,9115392037,28904,2299108,1/1/07,
24,9,Mariana Islands,2,1,2,0,100,0,0,,0,,1/1/07,
25,3,Maryland,97,636,89,574,92,90,47602846,115607826,4975051,52872,1/1/07,
26,1,Massachusetts,129,167,125,136,97,81,365760792,16911528,273402,36274,1/1/07,
27,5,Michigan,191,660,187,526,98,80,728416538,235099447,371032,1363766,1/1/07,
28,5,Minnesota,98,551,91,251,93,46,138639025,363320,2107964,31,1/1/07,
29,4,Mississippi,85,1180,85,1150,100,97,47856061,1500950230,68175,914757,1/1/07,
30,7,Missouri,173,2715,165,2434,95,90,330502790,677503735,19562031,2556339,1/1/07,
31,8,Montana,33,175,31,157,94,90,103687150,1138661613,15727,102433,1/1/07,
32,7,Nebraska,54,637,54,569,100,89,132616219,1637750056,25096,10545670,1/1/07,
33,9,Nevada,15,81,12,5,80,6,655710724,0,19368,0,1/1/07,
34,1,New Hampshire,51,45,50,33,98,73,55381393,418691,5848956,936,1/1/07,
35,2,New Jersey,43,30,38,27,88,90,0,0,0,0,1/1/07,
36,6,New Mexico,37,109,36,103,97,94,31457215,1040557,13232,1280,1/1/07,
37,2,New York,332,1291,330,1109,99,86,612860933,201014469,1629401,126319,1/1/07,
38,4,North Carolina,213,888,204,821,96,92,1.52369E+11,509020438,6092144348,75602,1/1/07,
39,8,North Dakota,25,12,25,4,100,33,41229229,21412,19562,0,1/1/07,
